Date,AAPL,DIS,FMC,KO,ORA
2013-01-02,16.687345504760742,45.88776779174805,41.757179260253906,25.820655822753906,18.43637466430664
2013-01-03,16.476715087890625,45.98654556274414,41.39879608154297,25.820655822753906,18.234386444091797
2013-01-04,16.01776123046875,46.86658477783203,41.55339813232422,25.86186981201172,18.326194763183594
2013-01-07,15.923530578613281,45.77102279663086,42.129638671875,25.614639282226562,18.00484848022461
2013-01-08,15.966392517089844,45.58244323730469,42.45291519165039,25.436098098754883,18.179296493530273
2013-01-09,15.716854095458984,45.600399017333984,43.28917694091797,25.42923355102539,18.087482452392578
2013-01-10,15.911687850952148,45.60939407348633,43.471900939941406,25.381155014038086,18.317018508911133
2013-01-11,15.814116477966309,45.42081069946289,43.14861297607422,25.346817016601562,18.629186630249023
2013-01-14,15.250299453735352,45.42978286743164,43.08537673950195,25.401758193969727,18.307832717895508
2013-01-15,14.76916217803955,45.878780364990234,42.97996139526367,25.628381729125977,18.216020584106445
2013-01-16,,46.27389144897461,42.748077392578125,25.628381729125977,17.949758529663086
2013-01-17,15.278568267822266,47.064144134521484,42.748077392578125,25.758852005004883,18.188472747802734
2013-01-18,15.19711971282959,47.001285552978516,42.59345626831055,25.88932991027832,18.087482452392578
2013-01-22,15.342098236083984,47.35150909423828,43.127540588378906,25.49789810180664,18.427194595336914
2013-01-23,15.622939109802246,48.44706344604492,42.7831916809082,25.49789810180664,18.555734634399414
2013-01-24,13.692602157592773,48.44706344604492,43.064300537109375,25.484153747558594,18.583276748657227
2013-01-25,13.369810104370117,48.83320617675781,43.47891616821289,25.442956924438477,18.583276748657227
2013-01-28,13.672233581542969,48.815242767333984,43.13456726074219,25.41548728942871,19.106624603271484
2013-01-29,13.928760528564453,48.48299026489258,43.42270278930664,25.697046279907227,19.50143051147461
2013-01-30,13.884995460510254,48.303382873535156,43.247013092041016,25.751977920532227,19.31779670715332
2013-01-31,13.844267845153809,48.38420104980469,43.19781494140625,25.573436737060547,19.519786834716797
2013-02-01,13.787429809570312,49.02178192138672,43.865421295166016,25.77945327758789,19.602418899536133
2013-02-04,13.443971633911133,48.402156829833984,43.65459442138672,25.648975372314453,18.583276748657227
2013-02-05,13.915692329406738,48.752384185791016,43.99191665649414,26.191482543945312,18.932172775268555
2013-02-06,13.900798797607422,48.95892333984375,43.464866638183594,26.308225631713867,18.92298698425293
2013-02-07,14.31412124633789,48.815242767333984,42.00315475463867,26.72024917602539,19.299436569213867
2013-02-08,14.520785331726074,49.08464431762695,42.03828048706055,26.62411880493164,19.271888732910156
2013-02-11,14.672110557556152,49.165462493896484,41.60258483886719,26.514244079589844,18.98726463317871
